year1,year2,size
1890,1894,52573131793.6272
1891,1895,55261011166.6141
1892,1896,56351662814.3272
1893,1897,54369699668.6382
1894,1898,52592202512.5908
1895,1899,52989316268.442
1896,1900,51007841090.6722
1897,1901,53740961190.3808
1898,1902,52327424881.5521
1899,1903,51757864124.8302
1900,1904,49562528722.0622
1901,1905,50445727731.0915
1902,1906,49095632212.7537
1903,1907,48957020412.2596
1904,1908,48274159816.2489
1905,1909,47379021183.5075
1906,1910,47100561800.3061
1907,1911,47448632500.0986
1908,1912,45440927948.938
1909,1913,47520033009.5087
1910,1914,46334516039.793
1911,1915,46809764534.0396
1912,1916,45942850224.3897
1913,1917,45780305629.3137
1914,1918,43246661732.2858
1915,1919,43340623557.413
1916,1920,43553474591.8518
1917,1921,43748434247.7044
1918,1922,44441318829.776
1919,1923,42509276007.5327
1920,1924,43775472003.0971
1921,1925,42524565930.1835
1922,1926,42872468316.6715
1923,1927,41340477934.3054
1924,1928,40092116173.2174
1925,1929,38799800472.3732
1926,1930,40157925028.1036
1927,1931,40467462538.0243
1928,1932,38866591327.5646
1929,1933,38194909994.4652
1930,1934,38040447842.7517
1931,1935,36787576038.8541
1932,1936,37033068422.3055
1933,1937,36964883452.2829
1934,1938,36804429998.2339
1935,1939,36281961162.6908
1936,1940,36604480158.0227
1937,1941,35659493713.0861
1938,1942,37090633760.0533
1939,1943,35068904407.5854
1940,1944,36271523748.2685
1941,1945,33145432848.0655
1942,1946,34086610709.6126
1943,1947,32834981054.2538
1944,1948,33356998815.2329
1945,1949,32945881550.7499
1946,1950,29548081374.9454
1947,1951,30068575605.1122
1948,1952,29541426884.3364
1949,1953,31121333945.3771
1950,1954,31867280631.5551
1951,1955,29527878179.6196
1952,1956,30350039185.2157
1953,1957,29658346481.3689
1954,1958,27534129234.9388
1955,1959,28690048340.151
1956,1960,27048020544.0498
1957,1961,29085882027.1323
1958,1962,27013714810.8372
1959,1963,28405949417.6907
1960,1964,25782233570.1708
1961,1965,26470180077.8481
1962,1966,25363455026.2557
1963,1967,22849451830.36
1964,1968,23564678914.4941
1965,1969,24877315026.704
1966,1970,23754252309.0723
1967,1971,22204305493.7781
1968,1972,22330028639.8362
1969,1973,25143795448.2
1970,1974,23965951151.4
1971,1975,23122915107
1972,1976,22079435050.8
1973,1977,21147535925.2
1974,1978,21020295218.8
1975,1979,19757190028
1976,1980,19275634918.8
1977,1981,19333918519.4
1978,1982,18512547950.2
1979,1983,18262917484.4
1980,1984,18838121558.6
1981,1985,18441342013
1982,1986,17502350889
1983,1987,16866494730.8
1984,1988,15807643437.2
1985,1989,14939561639.8
1986,1990,13915382990.2
1987,1991,12976312964.8
1988,1992,12932335732.4
1989,1993,12682335148.6
1990,1994,12986042038.6
1991,1995,13192900092.6
1992,1996,13455042967.8
1993,1997,13372673985.6
1994,1998,13087914905.8
1995,1999,12310505554
1996,2000,12144733536.8
1997,2001,11795998398.6
1998,2002,11331869470.2
1999,2003,10996340417.6
2000,2004,10423030870
2001,2005,9659823342.4
2002,2006,8954567927.2
2003,2007,8172976702.2
2004,2008,7458020064.6
2005,2009,7026808941.6
2006,2010,6626219717.8
2007,2011,6199161340.2
2008,2012,6061354597
2009,2013,5916015690.8
2010,2014,5928542767
2011,2015,6045066040.4
2012,2016,6103073121.75
2013,2017,6163765331
2014,2018,6452293230.5
2015,2019,6626950477
